omitted_history,contrast,treatment,reference,n_histories,full_sample_mean_difference,mean_difference,difference_sd,min_difference,max_difference,t_95_low,t_95_high,simultaneous_confidence,simultaneous_low,simultaneous_high,exact_sign_flip_p,holm_adjusted_p,same_direction_as_full_estimate,simultaneous_interval_excludes_zero,holm_significant_0_05
p01,D1-D0,D1,D0,14,0.01666666666666666,0.01785714285714285,0.23610662209336059,-0.5,0.41666666666666663,-0.11846676209386345,0.15418104780814915,0.9833333333333333,-0.15541749171933414,0.19113177743361984,0.8544921875,0.8544921875,True,False,False
p01,D2-D0,D2,D0,14,-0.09999999999999999,-0.09523809523809523,0.12167431859122863,-0.33333333333333326,0.08333333333333337,-0.16549075522511703,-0.02498543525107344,0.9833333333333333,-0.1845328083821441,-0.005943382094046379,0.0185546875,0.0556640625,True,True,False
p01,D3-D0,D3,D0,14,-0.15000000000000002,-0.1547619047619048,0.21398024625545645,-0.5,0.16666666666666663,-0.2783104206539631,-0.03121338886984648,0.9833333333333333,-0.3117983684060196,0.002274558882210037,0.02587890625,0.0556640625,True,False,False
p02,D1-D0,D1,D0,14,0.01666666666666666,0.023809523809523805,0.2344036154692477,-0.5,0.41666666666666663,-0.11153109439120787,0.15915014201025549,0.9833333333333333,-0.14821530316791942,0.19583435078696704,0.7822265625,0.7822265625,True,False,False
p02,D2-D0,D2,D0,14,-0.09999999999999999,-0.10119047619047618,0.12307740002960087,-0.33333333333333326,0.08333333333333337,-0.17225325128120542,-0.03012770109974694,0.9833333333333333,-0.19151488694046026,-0.010866065440492095,0.01513671875,0.04541015625,True,True,True
p02,D3-D0,D3,D0,14,-0.15000000000000002,-0.1488095238095238,0.21478117324605614,-0.5,0.16666666666666663,-0.2728204811781115,-0.024798566440936157,0.9833333333333333,-0.30643377415097117,0.008814726531923556,0.03125,0.0625,True,False,False
p03,D1-D0,D1,D0,14,0.01666666666666666,0.023809523809523805,0.2344036154692477,-0.5,0.41666666666666663,-0.11153109439120787,0.15915014201025549,0.9833333333333333,-0.14821530316791942,0.19583435078696704,0.7822265625,0.7822265625,True,False,False
p03,D2-D0,D2,D0,14,-0.09999999999999999,-0.10119047619047618,0.12307740002960087,-0.33333333333333326,0.08333333333333337,-0.17225325128120542,-0.03012770109974694,0.9833333333333333,-0.19151488694046026,-0.010866065440492095,0.01513671875,0.04541015625,True,True,True
p03,D3-D0,D3,D0,14,-0.15000000000000002,-0.13095238095238096,0.20073126386549828,-0.5,0.16666666666666663,-0.24685116216096212,-0.0150535997437998,0.9833333333333333,-0.27826564174104,0.016360879836278097,0.039794921875,0.07958984375,True,False,False
p04,D1-D0,D1,D0,14,0.01666666666666666,0.01785714285714285,0.23610662209336059,-0.5,0.41666666666666663,-0.11846676209386345,0.15418104780814915,0.9833333333333333,-0.15541749171933414,0.19113177743361984,0.8544921875,0.8544921875,True,False,False
p04,D2-D0,D2,D0,14,-0.09999999999999999,-0.10119047619047619,0.12307740002960087,-0.33333333333333326,0.08333333333333337,-0.17225325128120544,-0.030127701099746954,0.9833333333333333,-0.19151488694046026,-0.01086606544049211,0.01513671875,0.04248046875,True,True,True
p04,D3-D0,D3,D0,14,-0.15000000000000002,-0.16666666666666669,0.2041241452319315,-0.5,0.16666666666666663,-0.28452443925298565,-0.04880889408034775,0.9833333333333333,-0.3164699053886748,-0.01686342794465856,0.01416015625,0.04248046875,True,True,True
p05,D1-D0,D1,D0,14,0.01666666666666666,0.005952380952380947,0.23219568291601625,-0.5,0.41666666666666663,-0.12811341494622175,0.14001817685098367,0.9833333333333333,-0.16445208187373656,0.17635684377849847,1.0,1.0,True,False,False
p05,D2-D0,D2,D0,14,-0.09999999999999999,-0.10119047619047618,0.12307740002960087,-0.33333333333333326,0.08333333333333337,-0.17225325128120542,-0.03012770109974694,0.9833333333333333,-0.19151488694046026,-0.010866065440492095,0.01513671875,0.04541015625,True,True,True
p05,D3-D0,D3,D0,14,-0.15000000000000002,-0.1488095238095238,0.21478117324605614,-0.5,0.16666666666666663,-0.2728204811781115,-0.024798566440936157,0.9833333333333333,-0.30643377415097117,0.008814726531923556,0.03125,0.0625,True,False,False
p06,D1-D0,D1,D0,14,0.01666666666666666,0.041666666666666664,0.21371260356627758,-0.5,0.41666666666666663,-0.08172731693740684,0.16506065027074016,0.9833333333333333,-0.11517337855955984,0.19850671189289315,0.5498046875,0.5498046875,True,False,False
p06,D2-D0,D2,D0,14,-0.09999999999999999,-0.08928571428571427,0.11539733344642139,-0.33333333333333326,0.08333333333333337,-0.15591415095077765,-0.022657277620650895,0.9833333333333333,-0.17397385478234972,-0.004597573789078824,0.01904296875,0.05712890625,True,True,False
p06,D3-D0,D3,D0,14,-0.15000000000000002,-0.12500000000000003,0.1898886313281875,-0.4166666666666667,0.16666666666666663,-0.23463843156514522,-0.015361568434854839,0.9833333333333333,-0.26435603716616085,0.014356037166160823,0.0400390625,0.080078125,True,False,False
