model,sampling,history_budget,rollouts_per_history,full_panel_effect,full_panel_class,agreement_rate,lower_rate,no_large_shift_rate,higher_rate,threshold,draws,seed
Qwen3-30B,random_histories,1,10,-0.26287499999999997,-1,0.77458,0.77458,0.18212,0.0433,0.1,50000,20260903
Qwen3-30B,random_histories,2,10,-0.26287499999999997,-1,0.80006,0.80006,0.17262,0.02732,0.1,50000,20260903
Qwen3-30B,random_histories,4,10,-0.26287499999999997,-1,0.82664,0.82664,0.15792,0.01544,0.1,50000,20260903
Qwen3-30B,random_histories,8,10,-0.26287499999999997,-1,0.8343,0.8343,0.15346,0.01224,0.1,50000,20260903
Qwen3-30B,fixed_h1,1,10,-0.26287499999999997,-1,0.7424,0.7424,0.20578,0.05182,0.1,50000,20260903
Qwen3-30B,random_histories,1,20,-0.26287499999999997,-1,0.86424,0.86424,0.12614,0.00962,0.1,50000,20260903
Qwen3-30B,random_histories,2,20,-0.26287499999999997,-1,0.89052,0.89052,0.10692,0.00256,0.1,50000,20260903
Qwen3-30B,random_histories,4,20,-0.26287499999999997,-1,0.91202,0.91202,0.08716,0.00082,0.1,50000,20260903
Qwen3-30B,random_histories,8,20,-0.26287499999999997,-1,0.92374,0.92374,0.07582,0.00044,0.1,50000,20260903
Qwen3-30B,fixed_h1,1,20,-0.26287499999999997,-1,0.839,0.839,0.15104,0.00996,0.1,50000,20260903
Qwen3-30B,random_histories,1,40,-0.26287499999999997,-1,0.93504,0.93504,0.06464,0.00032,0.1,50000,20260903
Qwen3-30B,random_histories,2,40,-0.26287499999999997,-1,0.96554,0.96554,0.03446,0.0,0.1,50000,20260903
Qwen3-30B,random_histories,4,40,-0.26287499999999997,-1,0.97802,0.97802,0.02198,0.0,0.1,50000,20260903
Qwen3-30B,random_histories,8,40,-0.26287499999999997,-1,0.9847,0.9847,0.0153,0.0,0.1,50000,20260903
Qwen3-30B,fixed_h1,1,40,-0.26287499999999997,-1,0.92342,0.92342,0.07648,0.0001,0.1,50000,20260903
Qwen3-30B,random_histories,1,80,-0.26287499999999997,-1,0.98552,0.98552,0.01448,0.0,0.1,50000,20260903
Qwen3-30B,random_histories,2,80,-0.26287499999999997,-1,0.99632,0.99632,0.00368,0.0,0.1,50000,20260903
Qwen3-30B,random_histories,4,80,-0.26287499999999997,-1,0.99916,0.99916,0.00084,0.0,0.1,50000,20260903
Qwen3-30B,random_histories,8,80,-0.26287499999999997,-1,0.99986,0.99986,0.00014,0.0,0.1,50000,20260903
Qwen3-30B,fixed_h1,1,80,-0.26287499999999997,-1,0.98862,0.98862,0.01138,0.0,0.1,50000,20260903
Qwen3-30B,random_histories,1,100,-0.26287499999999997,-1,0.99328,0.99328,0.00672,0.0,0.1,50000,20260903
Qwen3-30B,random_histories,2,100,-0.26287499999999997,-1,0.99886,0.99886,0.00114,0.0,0.1,50000,20260903
Qwen3-30B,random_histories,4,100,-0.26287499999999997,-1,0.99992,0.99992,8e-05,0.0,0.1,50000,20260903
